run_name,overall_average_es,overall_percent_exact_matches,huggingface_diffusers_es,nerfstudio-project_nerfstudio_es,awslabs_fortuna_es,huggingface_evaluate_es,google_vizier_es,alibaba_FederatedScope_es,pytorch_rl_es,opendilab_ACE_es,huggingface_diffusers_em,nerfstudio-project_nerfstudio_em,awslabs_fortuna_em,huggingface_evaluate_em,google_vizier_em,alibaba_FederatedScope_em,pytorch_rl_em,opendilab_ACE_em
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_generations_processed,0.58,0.34,0.49,0,0.73,0.61,0.63,0.58,0.49,0.55,0.29,0,0.5,0.33,0.23,0.28,0.33,0.33
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_3_variants_raw_generations,0.54,0.32,0.1,0,0.12,0.09,0.12,0.09,0.08,0.07,0.07,0,0.08,0.05,0.08,0.04,0.05,0.04
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_3_variants_generations_processed,0.68,0.42,0.12,0,0.14,0.13,0.13,0.12,0.1,0.11,0.08,0,0.1,0.07,0.08,0.06,0.07,0.07
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_infile_subset_raw_generations,0.43,0.23,0.43,0,0.56,0.5,0.42,0.33,0.4,0.34,0.24,0,0.33,0.17,0.15,0.22,0.24,0.21
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_infile_subset_generations_processed,0.54,0.28,0.52,0,0.72,0.56,0.55,0.5,0.48,0.44,0.24,0,0.46,0.17,0.23,0.28,0.28,0.21
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_infile_subset_50_raw_generations,0.43,0.26,0.38,0,0.64,0.5,0.38,0.41,0.36,0.35,0.29,0,0.42,0.28,0.15,0.22,0.22,0.21
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_infile_subset_50_generations_processed,0.55,0.32,0.47,0,0.74,0.57,0.68,0.59,0.47,0.41,0.29,0,0.46,0.33,0.31,0.33,0.28,0.21
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_infile_subset_comp_raw_generations,0.63,0.45,0.51,0,0.8,0,1,0.6,0.65,0.35,0.33,0,0.75,0,1,0,0.5,0
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_merged_infile_subsetcomp_generations_processed,0.63,0.45,0.51,0,0.8,0,1,0.6,0.65,0.35,0.33,0,0.75,0,1,0,0.5,0
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_10_variants_generations_processed,0.78,0.58,0.09,0,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0,0.07,0.06,0.05,0.04,0.05,0.06
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_10_variants_raw_generations,0.61,0.44,0.06,0,0.08,0.05,0.06,0.06,0.06,0.06,0.05,0,0.06,0.04,0.04,0.03,0.04,0.05
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_pass_at_10_raw_generations,0.46,0.27,0.04,0,0.07,0.04,0.04,0.05,0.04,0.04,0.02,0,0.05,0.02,0.02,0.03,0.02,0.03
rg-one-gram-ws-20-ss-2-one-line_0.1_instruct_pass_at_10_generations_processed,0.64,0.39,0.06,0,0.08,0.08,0.06,0.06,0.06,0.06,0.04,0,0.06,0.04,0.02,0.04,0.03,0.04
